student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score
S1510,16.75008114554713,Male,2.9183102516457993,1.8218077217313262,2.7868239863150635,Yes,73.30070992710095,5.836182003924929,Good,0.08053582750845475,Bachelor,Average,3.0715332605177017,Yes,50.159448196020485
S1365,23.229595067370212,Female,5.054181617895731,3.2572723895175097,0.41593569804192765,Yes,81.6473766233961,4.849538482117908,Good,0.7279433923937842,,Poor,3.2581128434911704,No,77.27411932162637
S1382,20.06514339394352,Male,5.875706125288132,2.211316983387764,2.9962439118085062,Yes,82.3661096270124,7.8555716610336495,Good,-0.143781762675624,Bachelor,Average,6.060413184866746,No,97.45649278504152
S1322,19.65324167518277,Male,6.448154848737306,5.0083439944941155,1.5875376775076533,No,69.73351188748128,5.39762899435516,Good,0.22869321886275618,Bachelor,Good,9.567571361978143,No,95.68081913303483
S1988,17.866802656706163,Male,3.3962643371551264,2.162817691652155,1.3426021795956251,No,68.4786007091841,3.9402350127147385,Fair,3.862628262033549,Bachelor,Average,8.323640806882056,Yes,68.0666685637961
S1098,22.38017086686591,Male,2.4311979451546306,-0.07922128086518344,3.053537362495075,No,91.88593257516281,4.707001016225333,Good,3.210115852866556,Bachelor,Good,6.7072314873353305,Yes,64.06388588737633
S1742,17.441363485158266,Female,5.228117282374305,1.975824305295557,3.528217415479352,No,87.69101485456973,5.667132160589621,Fair,3.9451730038215542,Bachelor,Average,0.8036333816401058,Yes,72.04730637539085
S1017,23.90126166991036,Female,3.2416566045647124,2.6813106181170405,1.1493164604422457,No,93.14822717874324,7.520147420216615,Poor,-0.06278302128605352,High School,Average,1.2680650033456007,Yes,70.5550198081447
S1595,20.29142632735681,Male,5.600702927699559,2.0422695982501238,0.11332311937074607,No,77.89555534422499,7.22624321967481,Fair,3.8817271588365942,Bachelor,Average,6.91689508584139,No,98.25407708019156
S1106,21.80047101861024,Male,3.2471759542267997,0.42703000127603746,0.8729036135979181,No,82.53906736047634,9.040670348303818,Good,6.125737146730792,High School,Good,4.728030076907465,Yes,81.68607029438627
S1123,22.84371622465185,Female,4.901759758322641,1.2011160268755923,2.8159052425546243,No,81.55557390572912,7.283485917019203,Good,0.6813495872569695,Bachelor,Average,3.9935109843621968,No,78.72845798846379
S1569,22.978197411761276,Male,6.436129624426824,1.850615224791252,0.1119709261732583,No,93.55261957304926,6.198283239323669,Fair,6.023852495625166,,Good,2.905655312546862,Yes,101.03442583460773
S1214,19.343327081763082,Male,5.674078555830444,3.7575520975303287,0.030832783581405006,No,100.01483766787968,8.941814215383246,Fair,3.068656696172503,,Average,6.754624657408184,No,101.02166625078699
S1737,20.852920823497758,Male,5.646871389664328,4.489721604335362,2.767028177439802,Yes,98.46526456571308,6.42029032683196,Fair,0.11298126896759297,High School,Average,0.6499975273129904,Yes,72.70104441754307
S1096,17.89779261710646,Female,5.96117472910631,3.5501790121590897,0.9041733838534608,No,91.46545585100094,7.025929229025593,Good,0.01435847075200227,High School,Good,3.1932406649373406,No,87.9177763016633
S1113,21.90000965991314,Male,3.1043437578727007,2.4973364438387575,2.6426623835926697,No,82.89112610261411,5.740898426619247,Fair,0.026333939980337645,Bachelor,Average,4.607147074807188,No,50.1109608514617
S1638,18.507818697816536,Female,4.844951238004822,1.8850394647156836,0.8238873135812385,Yes,75.25309621929459,6.583363007185433,Fair,1.2199599056557244,Master,Good,10.459614258998647,Yes,99.96534565355536
S1047,23.50341163249107,Female,2.2221218486388783,2.919323397863449,2.6996424455533234,No,84.52590770217488,7.141631579437949,Good,3.7781654181752384,,Good,7.701627082819698,Yes,60.53272578608076
S1073,18.231139394195353,Female,7.588783403684991,3.51942947645983,4.040586674650344,No,82.86748184310021,5.426495728319672,Fair,2.919743896642675,High School,Average,7.28197299362827,Yes,99.99619813891076
S1544,17.088902488741226,Female,4.128118992100226,2.7282128513175308,1.5031285772471503,No,99.5245855993742,7.415927978435353,Poor,5.836873109568222,Bachelor,Average,6.784234156200988,No,87.62403756277169
S1942,24.169746789780312,Female,2.361817997124466,4.479077353634209,3.28791149584409,No,76.96621824059112,6.200760622743118,Poor,2.8049178258895644,High School,Good,6.6373993811864525,No,53.72724959621199
S1224,18.343175698657518,Female,4.504643624306936,2.5092763048183797,2.709971029072641,No,88.41987529980688,6.989578691706608,Fair,4.765399341461739,Bachelor,Poor,5.731644680404758,No,70.33840820384856
S1111,22.78456527695676,Female,4.1930027741973745,1.9109906824510647,0.718640161128831,No,84.67849523400312,8.25504282767165,Good,1.051264610443542,High School,Average,3.0602681192615666,No,78.28366212645281
S1409,22.270683091477846,Male,2.673281103190915,2.1482493473655486,2.80590564617677,No,98.3480370759502,6.505007465735367,Fair,1.8516539786829316,High School,Average,3.2463324856591145,No,52.694547134522075
S1339,19.711348943967018,Female,4.604565532339026,2.7237224224588985,1.3141880495135527,No,91.99293863772724,6.617192021854787,Fair,6.1969244487501625,Master,Good,3.6990772017479516,Yes,77.07386012134661
